Rk,Gtm,Date,Loc,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,#,Umpire,Pitchers Used (Rest-GameScore-Dec)
68,68,2019 06 13,x,SDP,"W,9-6",9,13,6,6,0,0,12,2,0,5,40,137,94,0,0,0,0,40,3,1,0,0,0,1,0,4,Chris Guccione,"J.Gray (4-48-W), J.Diaz (1-H), S.Oberg (2), W.Davis (2)"
69,69,2019 06 14,x,SDP,"L,12-16",12,21,16,16,0,6,10,4,0,5.14,62,240,156,2,1,1,0,56,5,1,0,0,0,0,1,9,Mike Everitt,"J.Hoffman (4-57), C.Bettis (2-H), B.Shaw (1-H), J.McGee (1), C.Estevez (1), 
M.Dunn (11), W.Davis (0-BSv), S.Oberg (0), J.Diaz (0-L)"
70,70,2019 06 15,x,SDP,"W,14-8",9,13,8,7,1,5,11,0,0,5.16,44,158,100,3,0,0,0,39,3,0,0,0,0,1,1,4,Bill Welke,"G.Marquez (4-25-W), C.Estevez (0), C.Bettis (0-H), B.Shaw (0)"
71,71,2019 06 16,x,SDP,"L,13-14",9,15,14,14,0,6,7,2,0,5.29,46,186,110,1,1,1,0,39,2,3,2,0,1,0,2,6,Lance Barrett,"P.Lambert (4-12), J.Tinoco (15), B.Shaw (0), J.McGee (1-H), W.Davis (1-BL), 
J.Gray (2)"
72,72,2019 06 18,@,ARI,"W,8-1",9,7,1,1,0,4,6,0,0,5.23,38,126,77,2,0,0,0,34,1,0,0,0,0,1,1,3,Ted Barrett,"A.Senzatela (5-57-W), J.Diaz (3), C.Estevez (2)"
73,73,2019 06 19,@,ARI,"W,6-4",9,10,4,3,1,2,7,1,1,5.2,39,122,83,2,0,2,0,36,0,0,0,0,0,2,2,4,Angel Hernandez,"J.Gray (2-56-W), B.Shaw (2-H), S.Oberg (4-H), W.Davis (2-Sv)"
74,74,2019 06 20,@,ARI,"W,6-4",10,10,4,4,0,8,14,1,1,5.17,48,207,132,2,0,1,0,37,3,0,1,1,1,0,1,6,John Tumpane,"J.Hoffman (5-49), C.Bettis (4), C.Estevez (1), J.McGee (3), J.Diaz (1), 
S.Oberg (0-W)"
75,75,2019 06 21,@,LAD,"L,2-4",8.2,6,4,3,1,1,9,2,0,5.15,33,108,71,0,0,0,0,31,1,0,0,0,1,0,0,2,Chad Fairchild,"G.Marquez (5-74), J.Diaz (0-L)"
76,76,2019 06 22,@,LAD,"L,4-5",10.1,14,5,5,0,3,9,2,0,5.14,47,195,117,1,0,0,0,42,4,0,0,2,0,1,1,6,John Libka,"P.Lambert (5-41), J.McGee (1), B.Shaw (2-BSv), C.Estevez (1), W.Davis (2), 
J.Tinoco (5-L)"
77,77,2019 06 23,@,LAD,"L,3-6",8.2,7,6,3,3,3,6,2,0,5.11,37,140,90,2,2,0,0,34,2,0,1,0,0,1,0,4,Paul Emmel,"A.Senzatela (4-59), C.Bettis (2-BSv), J.McGee (0), S.Oberg (2-L)"
78,78,2019 06 24,@,SFG,"W,2-0",9,6,0,0,0,2,9,0,0,5.05,34,141,92,0,0,1,0,32,2,1,0,0,0,0,0,4,Vic Carapazza,"J.Gray (4-68-W), J.Diaz (2-H), S.Oberg (0-H), W.Davis (1-Sv)"
79,79,2019 06 25,@,SFG,"L,2-4",8,8,4,4,0,5,5,1,0,5.04,35,126,75,0,0,0,0,29,1,0,0,0,1,0,2,4,Jansen Visconti,"C.Gonzalez (99-43-L), C.Estevez (2), B.Shaw (2), J.McGee (1)"
80,80,2019 06 26,@,SFG,"W,6-3",9,8,3,2,1,3,5,1,0,5,36,151,93,0,0,0,2,32,4,1,0,1,0,1,1,5,Jordan Baker,"G.Marquez (4-43-W), J.McGee (0-H), J.Diaz (1-H), S.Oberg (1-H), W.Davis 
(1-Sv)"
81,81,2019 06 27,x,LAD,"L,8-12",9,17,12,12,0,2,6,6,0,5.09,46,184,118,1,0,0,0,44,3,0,0,0,0,0,0,5,Tony Randazzo,"P.Lambert (4-28), C.Bettis (3), J.Diaz (0-BSv), S.Oberg (0), W.Davis (0-L)"
82,82,2019 06 28,x,LAD,"W,13-9",9,9,9,5,4,7,5,2,0,5.09,45,159,95,0,0,0,0,38,3,0,1,0,0,2,1,5,Laz Diaz,"A.Senzatela (4-36-W), C.Estevez (2), B.Shaw (2-H), J.McGee (1-H), S.Oberg 
(0)"
83,83,2019 06 29,x,LAD,"W,5-3",9,8,3,2,1,2,13,0,1,5.05,38,139,90,2,0,0,0,34,1,1,0,1,0,1,1,4,Chris Guccione,"J.Gray (4-56-W), J.Diaz (1-H), B.Shaw (0-H), W.Davis (1-Sv)"
84,84,2019 06 30,x,LAD,"L,5-10",9,14,10,10,0,5,8,0,1,5.11,47,186,106,5,2,0,0,40,4,0,0,1,0,1,1,5,Cory Blaser,"C.Gonzalez (4-40), C.Estevez (1), C.Bettis (2-BL), J.Tinoco (7), J.Diaz (0)"
85,85,2019 07 02,x,HOU,"L,8-9",9,13,9,8,1,2,10,2,0,5.14,42,145,97,1,1,1,0,39,5,0,0,0,1,0,0,4,Adam Hamari,"G.Marquez (5-44), B.Shaw (2), J.McGee (3-BL), S.Oberg (3)"
86,86,2019 07 03,x,HOU,"L,2-4",9,6,4,4,0,3,3,2,1,5.13,35,113,74,0,0,1,0,31,1,0,0,0,0,0,1,4,Todd Tichenor,"P.Lambert (5-40-L), C.Bettis (2), J.Diaz (2), W.Davis (3)"
87,87,2019 07 05,@,ARI,"L,0-8",8,9,8,8,0,4,4,2,0,5.17,35,124,74,3,3,1,0,30,1,0,0,0,1,0,2,3,CB Bucknor,"A.Senzatela (6-20-L), J.Tinoco (4), C.Estevez (4)"
